source,position,company,location,category,career_text,employment_type,url
jobkorea,대전 로쏘(주)성심당 경영혁신본부 안전보건환경팀 보건관리자 채용,로쏘㈜,대전 중구,보건관리자,경력무관,인턴,https://www.jobkorea.co.kr/Recruit/GI_Read/49920563
jobkorea,[인재 DB 등록] 전 직군 (경력) - 안전/보건,보령엘엔지터미널(주),충남 보령시,보건관리자,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49918918
jobkorea,[HD한국조선해양] 안전보건관리자 기간제 모집 (강릉 근무),에이치디한국조선해양㈜,강원 강릉시,보건관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49916104
jobkorea,안전보건담당자(경력직) 채용 공고,㈜코어이엔피,전남광주 서구,보건관리자,경력 2년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49913240
jobkorea,"로봇연구소 EHS(안전, 보건) 담당자",두산로보틱스㈜,경기 성남시,보건관리자,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49904942
jobkorea,"[오창] 품질관리팀, 보건관리자, 안전관리자 신입 및 경력사원 모집",㈜서흥,충북 청주시,보건관리자,신입,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49901605
jobkorea,[두오모] 건설현장 보건관리자 (계약직),㈜두오모,서울 강남구,보건관리자,경력 3년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49900915
jobkorea,[KCC건설] 케이스퀘어 성수 복합시설 신축공사 보건관리자 채용,㈜케이씨씨건설,서울 성동구,보건관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49887185
jobkorea,건설 현장 보건 관리자로 근무하실 분 모십니다.,윤창기공㈜,경북 울진군,보건관리자,경력 3년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49883893
jobkorea,소규모 사업장 안전보건 기술지원 사업(위탁) 수행요원 채용 공고,㈔대한영양사협회,대구 중구,보건관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49879616
jobkorea,하이콘(주) 보건관리자 모집,하이콘㈜,경기 성남시,보건관리자,경력 3년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49868546
jobkorea,금광기업(주) 남양주 현장(보건관리자) 직원 채용,금광기업㈜,경기 남양주시,보건관리자,경력무관,,https://www.jobkorea.co.kr/Recruit/GI_Read/49860707
jobkorea,2026년 현장 프로젝트 계약직 상시 채용 - 안전/보건관리(건축/토목),두산건설㈜,,보건관리자,,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49860509
jobkorea,[HYBE] 보건관리(계약직) (사업장/공연장 보건관리),㈜하이브,서울 용산구,보건관리자,경력 3년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49853581
jobkorea,[쿠팡풀필먼트서비스] 물류센터 보건관리자 (고양 3센터),쿠팡 주식회사,경기 고양시,보건관리자,경력 3년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49851869
jobkorea,각 부문 신입/경력 상시 인재 POOL 모집 - 안전/보건,에스에프씨,충북 청주시,보건관리자,신입,,https://www.jobkorea.co.kr/Recruit/GI_Read/49851106
jobkorea,동부엔텍(주) 본사 안전보건팀 경력직 채용,동부엔텍,경기 과천시,보건관리자,경력 3년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49850366
jobkorea,2026년 보훈 취업지원대상자 상시채용(보건관리),케이티,,보건관리자,신입,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49827862
jobkorea,(주)에이스침대 안전보건 부문 채용,㈜에이스침대 여주공장,경기 여주시,보건관리자,경력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49820857
jobkorea,홈플러스 아시아드점/동래점 보건관리자 채용,홈플러스㈜,부산 연제구,보건관리자,경력 3년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49802442
jobkorea,유플러스홈서비스 보건관리자 채용,유플러스홈서비스,서울 마포구,보건관리자,신입,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49800100
jobkorea,[서울반도체] 환경안전팀 보건관리자 채용,서울반도체,경기 안산시,보건관리자,경력 4년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49799297
jobkorea,[대한안전교육협회] 산업안전보건교육 강사 채용,㈔대한안전교육협회,경기 안양시,보건관리자,경력 3년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49771133
jobkorea,[KT&G 계열사] (주)코스모코스 보건관리자 경력직 모집,"㈜코스모코스(COSMOCOS Co.,Ltd)",인천 남동구,보건관리자,경력 3년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49662425
jobkorea,삼성물산(주) 국내 하이테크현장 보건관리자 채용의건,삼성물산㈜,서울 강동구 외,보건관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49616840
jobkorea,[네오위즈] 사내 보건관리자 (장애인 채용),㈜네오위즈,경기 성남시,보건관리자,경력 1년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49609317
jobkorea,[상시채용] PJT일반직 상시채용&POOL 모집 (건축/토목/전기/플랜트/품질/안전/보건/CAD/사무/자재/반장),지에스건설,,보건관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/48421733
jobkorea,[(주)신안천사김] 산업안전보건 관리자 채용,신안천사김,전남광주 신안군,안전관리자,경력 7년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/50008530
jobkorea,(주)화승케미칼 아산공장 안전보건팀 채용,화승케미칼아산공장,충남 아산시,안전관리자,경력 5년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/50001279
jobkorea,에쓰-오일토탈에너지스윤활유(주) HSEQ팀 경력직,에쓰-오일토탈에너지스윤활유㈜,울산 울주군,안전관리자,경력 12년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/50000191
jobkorea,"[신입/경력] 안전,환경(ESH) 관리자 모집",㈜코아텍시스템즈,경남 창원시,안전관리자,경력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/50000014
jobkorea,환경/안전보건 경영시스템 심사원,한국에스지에스 ㈜,서울 용산구,안전관리자,경력 7년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49994243
jobkorea,[(주)대한안전보건교육원] 안전보건교육 계약직강사 채용,㈜대한안전보건교육원,서울 금천구,안전관리자,경력 3년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49994347
jobkorea,마산신항운영(주) 안전보건관리자 채용,마산신항운영㈜,경남 창원시,안전관리자,경력무관,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49992626
jobkorea,외국계 시험인증소 HSE(안전관리자) 모집,뷰로베리타스씨피에스코리아테크㈜,경기 화성시,안전관리자,경력 3년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49992411
jobkorea,본사 안전보건실 정규직 / 신입 또는 경력사원(과/차장급) 채용,㈜마루이엔씨,경기 이천시,안전관리자,경력 5년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49991346
jobkorea,2026년 하반기 신입사원 채용 - 안전보건/보건,㈜대우건설,,안전관리자,신입,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49986653
jobkorea,2026년 하반기 신입사원 채용 - 안전보건/안전,㈜대우건설,,안전관리자,신입,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49986646
jobkorea,[글로벌 자동차 부품사] 인사총무 (EHS·총무·IT 지원),엘앤피자동차코리아,부산 사상구,안전관리자,경력 3년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49982166
jobkorea,EHS 안전관리자 (김포),㈜컬리,경기 김포시,안전관리자,경력 1년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49977230
jobkorea,2026년 하반기 기술직 신입사원 채용 - EHS(안전관리),에이치디건설기계㈜,인천 제물포구 외,안전관리자,신입,,https://www.jobkorea.co.kr/Recruit/GI_Read/49973882
jobkorea,산업안전보건관리담당자 채용,더원생활환경㈜,대구 수성구,안전관리자,경력 2년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49971983
jobkorea,[삼표시멘트] 안전/보건팀 경력(수습)사원 채용,㈜삼표시멘트,강원 삼척시,안전관리자,경력 3년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49970523
jobkorea,한국경남태양유전(주) 채용연계형 인턴 모집 (안전보건),한국경남태양유전(주),경남 사천시,안전관리자,신입,인턴,https://www.jobkorea.co.kr/Recruit/GI_Read/49967594
jobkorea,[반도체 중견기업] 한양디지텍 ESH 공조부문 채용,한양디지텍㈜,경기 화성시,안전관리자,경력 5년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49964004
jobkorea,"[안전보건] 서울 마곡 더 그리드 현장 보건관리자 채용(연차,중식제공)",아임파워㈜,서울 강서구,안전관리자,,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49963802
jobkorea,[경력] KG스틸 안전/보건관리 담당 채용 (당진),케이지스틸㈜,충남 당진시,안전관리자,경력 4년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49962030
jobkorea,[천안] 안전보건경영실 안전보건전략팀 경력 채용,티케이엘리베이터코리아㈜,충남 천안시,안전관리자,경력 1년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49945348
jobkorea,전문건설 본사 안전보건팀장 모집,해광이엔씨㈜,서울 영등포구,안전관리자,경력 5년 이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/49944878
jobkorea,"[쿠팡CFS] 안성4센터  EHS 안전관리자 채용 (육휴대체, 계약직)",쿠팡풀필먼트서비스 유한회사,경기 안성시,안전관리자,경력 1년 이상,계약직,https://www.jobkorea.co.kr/Recruit/GI_Read/49930029
